#	Season	Nation	Winners	Score	Runners-up	Nation	Venue	Att
1	1955–56	 Spain	Real Madrid	4–3	Reims	 France	France Parc des Princes, Paris	38,239
2	1956–57	 Spain	Real Madrid	2–0	Fiorentina	 Italy	Spain Santiago Bernabéu Stadium, Madrid	124,000
3	1957–58	 Spain	Real Madrid	3–2dagger	Milan	 Italy	Belgium Heysel Stadium, Brussels	67,000
4	1958–59	 Spain	Real Madrid	2–0	Reims	 France	West Germany Neckarstadion, Stuttgart	72,000
5	1959–60	 Spain	Real Madrid	7–3	Eintracht Frankfurt	 West Germany	Scotland Hampden Park, Glasgow	127,621
6	1960–61	 Portugal	Benfica	3–2	Barcelona	 Spain	Switzerland Wankdorf Stadium, Bern	26,732
7	1961–62	 Portugal	Benfica	5–3	Real Madrid	 Spain	Netherlands Olympisch Stadion, Amsterdam	61,257
8	1962–63	 Italy	Milan	2–1	Benfica	 Portugal	England Wembley Stadium, London	45,715
9	1963–64	 Italy	Internazionale	3–1	Real Madrid	 Spain	Austria Prater Stadium, Vienna	71,333
10	1964–65	 Italy	Internazionale	1–0	Benfica	 Portugal	Italy San Siro, Milan	89,000
11	1965–66	 Spain	Real Madrid	2–1	Partizan	 Yugoslavia	Belgium Heysel Stadium, Brussels	46,745
12	1966–67	 Scotland	Celtic	2–1	Internazionale	 Italy	Portugal Estádio Nacional, Lisbon	45,000
13	1967–68	 England	Manchester United	4–1dagger	Benfica	 Portugal	England Wembley Stadium, London	92,225
14	1968–69	 Italy	Milan	4–1	Ajax	 Netherlands	Spain Santiago Bernabéu Stadium, Madrid	31,782
15	1969–70	 Netherlands	Feyenoord	2–1dagger	Celtic	 Scotland	Italy San Siro, Milan	53,187
16	1970–71	 Netherlands	Ajax	2–0	Panathinaikos	 Greece	England Wembley Stadium, London	83,179
17	1971–72	 Netherlands	Ajax	2–0	Internazionale	 Italy	Netherlands De Kuip, Rotterdam	61,354
18	1972–73	 Netherlands	Ajax	1–0	Juventus	 Italy	Socialist Federal Republic of Yugoslavia Red Star Stadium, Belgrade	89,484
19	1973–74	 West Germany	Bayern Munich	4–0&[A]	Atlético Madrid	 Spain	Belgium Heysel Stadium, Brussels	72,047
20	1974–75	 West Germany	Bayern Munich	2–0	Leeds United	 England	France Parc des Princes, Paris	48,374
21	1975–76	 West Germany	Bayern Munich	1–0	Saint-Étienne	 France	Scotland Hampden Park, Glasgow	54,864
22	1976–77	 England	Liverpool	3–1	Borussia Mönchengladbach	 West Germany	Italy Stadio Olimpico, Rome	57,000
23	1977–78	 England	Liverpool	1–0	Club Brugge	 Belgium	England Wembley Stadium, London	92,500
24	1978–79	 England	Nottingham Forest	1–0	Malmö FF	 Sweden	West Germany Olympiastadion, Munich	57,500
25	1979–80	 England	Nottingham Forest	1–0	Hamburg	 West Germany	Spain Santiago Bernabéu Stadium, Madrid	51,000
26	1980–81	 England	Liverpool	1–0	Real Madrid	 Spain	France Parc des Princes, Paris	48,360
27	1981–82	 England	Aston Villa	1–0	Bayern Munich	 West Germany	Netherlands De Kuip, Rotterdam	46,000
28	1982–83	 West Germany	Hamburg	1–0	Juventus	 Italy	Greece Olympic Stadium, Athens	73,500
29	1983–84	 England	Liverpool	1–1*[B]	Roma	 Italy	Italy Stadio Olimpico, Rome	69,693
30	1984–85	 Italy	Juventus	1–0	Liverpool	 England	Belgium Heysel Stadium, Brussels	58,000
31	1985–86	 Romania	Steaua București	0–0*[C]	Barcelona	 Spain	Spain Estadio Ramón Sánchez Pizjuán, Seville	70,000
32	1986–87	 Portugal	Porto	2–1	Bayern Munich	 West Germany	Austria Prater Stadium, Vienna	57,500
33	1987–88	 Netherlands	PSV Eindhoven	0–0*[D]	Benfica	 Portugal	West Germany Neckarstadion, Stuttgart	68,000
34	1988–89	 Italy	Milan	4–0	Steaua București	 Romania	Spain Camp Nou, Barcelona	97,000
35	1989–90	 Italy	Milan	1–0	Benfica	 Portugal	Austria Prater Stadium, Vienna	57,558
36	1990–91	 Yugoslavia	Red Star Belgrade	0–0*[E]	Marseille	 France	Italy Stadio San Nicola, Bari	56,000
37	1991–92	 Spain	Barcelona	1–0dagger	Sampdoria	 Italy	England Wembley Stadium, London	70,827
38	1992–93	 France	Marseille	1–0	Milan	 Italy	Germany Olympiastadion, Munich	64,400
39	1993–94	 Italy	Milan	4–0	Barcelona	 Spain	Greece Olympic Stadium, Athens	70,000
40	1994–95	 Netherlands	Ajax	1–0	Milan	 Italy	Austria Ernst-Happel-Stadion, Vienna	49,730
41	1995–96	 Italy	Juventus	1–1*[F]	Ajax	 Netherlands	Italy Stadio Olimpico, Rome	70,000
42	1996–97	 Germany	Borussia Dortmund	3–1	Juventus	 Italy	Germany Olympiastadion, Munich	59,000
43	1997–98	 Spain	Real Madrid	1–0	Juventus	 Italy	Netherlands Amsterdam Arena, Amsterdam	48,500
44	1998–99	 England	Manchester United	2–1	Bayern Munich	 Germany	Spain Camp Nou, Barcelona	90,245
45	1999–2000	 Spain	Real Madrid	3–0	Valencia	 Spain	France Stade de France, Saint-Denis	80,000
46	2000–01	 Germany	Bayern Munich	1–1*[G]	Valencia	 Spain	Italy San Siro, Milan	71,500
47	2001–02	 Spain	Real Madrid	2–1	Bayer Leverkusen	 Germany	Scotland Hampden Park, Glasgow	50,499
48	2002–03	 Italy	Milan	0–0*[H]	Juventus	 Italy	England Old Trafford, Manchester	62,315
49	2003–04	 Portugal	Porto	3–0	Monaco	 France	Germany Arena AufSchalke, Gelsenkirchen	53,053
50	2004–05	 England	Liverpool	3–3*[I]	Milan	 Italy	Turkey Atatürk Olympic Stadium, Istanbul	69,000
51	2005–06	 Spain	Barcelona	2–1	Arsenal	 England	France Stade de France, Saint-Denis	79,610
52	2006–07	 Italy	Milan	2–1	Liverpool	 England	Greece Olympic Stadium, Athens	63,000
53	2007–08	 England	Manchester United	1–1*[J]	Chelsea	 England	Russia Luzhniki Stadium, Moscow	67,310
54	2008–09	 Spain	Barcelona	2–0	Manchester United	 England	Italy Stadio Olimpico, Rome	62,467
55	2009–10	 Italy	Internazionale	2–0	Bayern Munich	 Germany	Spain Santiago Bernabéu Stadium, Madrid	73,490
56	2010–11	 Spain	Barcelona	3–1	Manchester United	 England	England Wembley Stadium, London	87,695
57	2011–12	 England	Chelsea	1–1*[K]	Bayern Munich	 Germany	Germany Allianz Arena, Munich	62,500
58	2012–13	 Germany	Bayern Munich	2–1	Borussia Dortmund	 Germany	England Wembley Stadium, London	86,298
59	2013–14	 Spain	Real Madrid	4–1dagger	Atlético Madrid	 Spain	Portugal Estádio da Luz, Lisbon	60,976
60	2014–15	 Spain	Barcelona	3–1	Juventus	 Italy	Germany Olympiastadion, Berlin	70,442
61	2015–16	 Spain	Real Madrid	1–1*[L]	Atlético Madrid	 Spain	Italy San Siro, Milan	71,942
62	2016–17	 Spain	Real Madrid	4–1	Juventus	 Italy	Wales Millennium Stadium, Cardiff	65,842
63	2017–18	 Spain	Real Madrid	3–1	Liverpool	 England	Ukraine NSC Olimpiyskiy Stadium, Kiev	61,561